Country,Life_expectancy,CHE_GDP_ratio,GDP_per_capita
Austria,81.4,11.1,38560
Belgium,81.8,10.6,37170
Bulgaria,74.2,7.6,7730
Croatia,77.7,7.3,14630
Cyprus,81.6,8.4,28790
Czechia,79.0,8.5,18690
Denmark,81.3,9.4,51600
Estonia,78.1,7.,16130
Finland,81.2,9.7,37060
France,82.3,11.8,33540
Germany,80.7,12.4,36690
Greece,80.8,8.4,18960
Hungary,76.0,6.7,14540
Iceland,82.1,9.1,40510
Ireland,82.6,5.9,77300
Italy,82.8,8.8,28670
Latvia,74.5,8.1,13040
Lithuania,75.8,7.2,15500
Luxembourg,83.0,5.6,85850
Malta,82.4,9.1,25470
Netherlands,81.7,9.7,44870
Norway,82.5,7.9,72640
Poland,77.2,6.3,14800
Portugal,81.8,10.4,18970
Romania,75.1,5.8,10020
Slovakia,77.0,7.7,16480
Slovenia,81.3,9.6,21790
Spain,83.2,9.5,25270
Sweden,83.1,10.7,45030
Switzerland,83.7,11.6,64390